,,,,,,,BehaviorSpace results (NetLogo 6.2.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,cw3---Locust.nlogo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"F is high, L is weak",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,05/09/2021 23:52:40:566 +0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,-16,16,-16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,[run number],1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,5,5,5,5,5,5,5,6,6,6,6,6,6,6,7,7,7,7,7,7,7,8,8,8,8,8,8,8,9,9,9,9,9,9,9,10,10,10,10,10,10,10
,,,,,,,n-patches,100,,,,,,,100,,,,,,,100,,,,,,,100,,,,,,,100,,,,,,,100,,,,,,,100,,,,,,,100,,,,,,,100,,,,,,,100,,,,,,
,,,,,,,maximum_energy_grass,5,,,,,,,5,,,,,,,5,,,,,,,5,,,,,,,5,,,,,,,5,,,,,,,5,,,,,,,5,,,,,,,5,,,,,,,5,,,,,,
,,,,,,,growback_speed,0.5,,,,,,,0.5,,,,,,,0.5,,,,,,,0.5,,,,,,,0.5,,,,,,,0.5,,,,,,,0.5,,,,,,,0.5,,,,,,,0.5,,,,,,,0.5,,,,,,
,,,,,,,num_gregarious,5,,,,,,,5,,,,,,,5,,,,,,,5,,,,,,,5,,,,,,,5,,,,,,,5,,,,,,,5,,,,,,,5,,,,,,,5,,,,,,
,,,,,,,initial_pop,500,,,,,,,500,,,,,,,500,,,,,,,500,,,,,,,500,,,,,,,500,,,,,,,500,,,,,,,500,,,,,,,500,,,,,,,500,,,,,,
,,,,,,,initial_energy_locust,3,,,,,,,3,,,,,,,3,,,,,,,3,,,,,,,3,,,,,,,3,,,,,,,3,,,,,,,3,,,,,,,3,,,,,,,3,,,,,,
,,,,,,,move_energy,1,,,,,,,1,,,,,,,1,,,,,,,1,,,,,,,1,,,,,,,1,,,,,,,1,,,,,,,1,,,,,,,1,,,,,,,1,,,,,,
,,,,,,,step_gregarious,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,,2,,,,,,
,,,,,,,[reporter],count turtles,count turtles with [color = green],count turtles with [color = yellow],mean [energy_locust] of turtles,mean [energy_locust] of turtles with [color = green],mean [energy_locust] of turtles with [color = yellow],sum [cur_energy_grass] of patches,count turtles,count turtles with [color = green],count turtles with [color = yellow],mean [energy_locust] of turtles,mean [energy_locust] of turtles with [color = green],mean [energy_locust] of turtles with [color = yellow],sum [cur_energy_grass] of patches,count turtles,count turtles with [color = green],count turtles with [color = yellow],mean [energy_locust] of turtles,mean [energy_locust] of turtles with [color = green],mean [energy_locust] of turtles with [color = yellow],sum [cur_energy_grass] of patches,count turtles,count turtles with [color = green],count turtles with [color = yellow],mean [energy_locust] of turtles,mean [energy_locust] of turtles with [color = green],mean [energy_locust] of turtles with [color = yellow],sum [cur_energy_grass] of patches,count turtles,count turtles with [color = green],count turtles with [color = yellow],mean [energy_locust] of turtles,mean [energy_locust] of turtles with [color = green],mean [energy_locust] of turtles with [color = yellow],sum [cur_energy_grass] of patches,count turtles,count turtles with [color = green],count turtles with [color = yellow],mean [energy_locust] of turtles,mean [energy_locust] of turtles with [color = green],mean [energy_locust] of turtles with [color = yellow],sum [cur_energy_grass] of patches,count turtles,count turtles with [color = green],count turtles with [color = yellow],mean [energy_locust] of turtles,mean [energy_locust] of turtles with [color = green],mean [energy_locust] of turtles with [color = yellow],sum [cur_energy_grass] of patches,count turtles,count turtles with [color = green],count turtles with [color = yellow],mean [energy_locust] of turtles,mean [energy_locust] of turtles with [color = green],mean [energy_locust] of turtles with [color = yellow],sum [cur_energy_grass] of patches,count turtles,count turtles with [color = green],count turtles with [color = yellow],mean [energy_locust] of turtles,mean [energy_locust] of turtles with [color = green],mean [energy_locust] of turtles with [color = yellow],sum [cur_energy_grass] of patches,count turtles,count turtles with [color = green],count turtles with [color = yellow],mean [energy_locust] of turtles,mean [energy_locust] of turtles with [color = green],mean [energy_locust] of turtles with [color = yellow],sum [cur_energy_grass] of patches
